"id","parent_key/id","name","type","value_ids/name","value_ids/type"
"Adora_diskBrand",,"Adora","disk_brand",,
"Advan_diskBrand",,"Advan","disk_brand",,
"Advanti_diskBrand",,"Advanti","disk_brand",,
"AEZ_diskBrand",,"AEZ","disk_brand",,
"Aftermarket_diskBrand",,"Aftermarket","disk_brand",,
"AITL_diskBrand",,"AITL","disk_brand",,
"Alcar_diskBrand",,"Alcar","disk_brand",,
"Aleks_diskBrand",,"Aleks","disk_brand",,
"Alessio_diskBrand",,"Alessio","disk_brand",,
"Allante_diskBrand",,"Allante","disk_brand",,
"Alutec_diskBrand",,"Alutec","disk_brand",,
"Antera_diskBrand",,"Antera","disk_brand",,
"Arcasting_diskBrand",,"Arcasting","disk_brand",,
"ATS_diskBrand",,"ATS","disk_brand",,
"Autec_diskBrand",,"Autec","disk_brand",,
"BBS_diskBrand",,"BBS","disk_brand",,
"Borbet_diskBrand",,"Borbet","disk_brand",,
"Brock_diskBrand",,"Brock","disk_brand",,
"CMS_diskBrand",,"CMS","disk_brand",,
"Dezent_diskBrand",,"Dezent","disk_brand",,
"Disla_diskBrand",,"Disla","disk_brand",,
"Dotz_diskBrand",,"Dotz","disk_brand",,
"Enkei_diskBrand",,"Enkei","disk_brand",,
"ENZO_diskBrand",,"ENZO","disk_brand",,
"Eurodisk_diskBrand",,"Eurodisk","disk_brand",,
"Fondmetal_diskBrand",,"Fondmetal","disk_brand",,
"KFZ_diskBrand",,"KFZ","disk_brand",,
"Kosei_diskBrand",,"Kosei","disk_brand",,
"KRKZ_diskBrand",,"KRKZ","disk_brand",,
"Kronprinz_diskBrand",,"Kronprinz","disk_brand",,
"MAM_diskBrand",,"MAM","disk_brand",,
"Marcello_diskBrand",,"Marcello","disk_brand",,
"MSW_diskBrand",,"MSW","disk_brand",,
"OZ Racing_diskBrand",,"OZ Racing","disk_brand",,
"OZ XLine_diskBrand",,"OZ XLine","disk_brand",,
"RC-Design_diskBrand",,"RC-Design","disk_brand",,
"Replay_diskBrand",,"Replay","disk_brand",,
"Replica_diskBrand",,"Replica","disk_brand",,
"Rial_diskBrand",,"Rial","disk_brand",,
"RW_diskBrand",,"RW","disk_brand",,
"Sparco_diskBrand",,"Sparco","disk_brand",,
"TSW_diskBrand",,"TSW","disk_brand",,
"WSP Italy_diskBrand",,"WSP Italy","disk_brand",,
"Angel_diskBrand",,"Angel","disk_brand",,
"ASA_diskBrand",,"ASA","disk_brand",,
"CAM_diskBrand",,"CAM","disk_brand",,
"Konig_diskBrand",,"Konig","disk_brand",,
"Kyowa_diskBrand",,"Kyowa","disk_brand",,
"Mansory_diskBrand",,"Mansory","disk_brand",,
"MI Tech_diskBrand",,"MI Tech","disk_brand",,
"Primo_diskBrand",,"Primo","disk_brand",,
"RS Wheels_diskBrand",,"RS Wheels","disk_brand",,
"Stilauto_diskBrand",,"Stilauto","disk_brand",,
